Disease,Severity_Score
"Tuberculosis, HIV infected",0.408459204299999
"Tuberculosis, HIV infected and anemia, mild",0.41069636034036
"Tuberculosis, HIV infected and anemia, moderate",0.438663209985437
"Tuberculosis, HIV infected and anemia, severe",0.494827003652249
"HIV cases, symptomatic, pre-AIDS",0.2744787049
"AIDS cases, not receiving ARV treatment",0.58159009
Generic uncomplicated disease: anxiety about diagnosis,0.0124408307999999
"Anemia, mild; Generic uncomplicated disease anxiety",0.0160833307242591
"Anemia, moderate; Generic uncomplicated disease anxiety",0.063305862468731
"Anemia, severe; Generic uncomplicated disease anxiety",0.15932514528591
"HIV cases, symptomatic, pre-AIDS and anemia, mild",0.277181218177812
"HIV cases, symptomatic, pre-AIDS and anemia, moderate",0.311585318509671
"HIV cases, symptomatic, pre-AIDS and anemia, severe",0.381147624050404
"AIDS cases, not receiving ARV treatment and anemia, mild",0.583216266964975
"AIDS cases, not receiving ARV treatment and anemia, moderate",0.602912609524611
"AIDS cases, not receiving ARV treatment and anemia, severe",0.642019050453207
"HIV/AIDS cases, receiving ARV treatment",0.0780173292
"HIV/AIDS cases, receiving ARV treatment and anemia, mild",0.0814133163087075
"HIV/AIDS cases, receiving ARV treatment and anemia, moderate",0.125392636046685
"HIV/AIDS cases, receiving ARV treatment and anemia, severe",0.214818632701928
Asymptomatic,0.0
"Infectious disease, acute episode, moderate ",0.0505949457999999
"Motor plus cognitive impairments, moderate",0.2029460135
"Disfigurement, level 1",0.0110162523999999
"Hearing loss, unilateral",0.0079861649
"Infectious disease, acute episode, mild",0.00578649719999999
"Disfigurement, level 3",0.404790537
"Moderate motor plus cognitive impairments and moderate infectious disease, acute episode",0.243027149563931
"Level 3 disfigurement and moderate infectious disease, acute episode",0.434622571702027
Level 3 disfigurement and moderate motor plus cognitive impairments,0.523209748983538
"Level 3 disfigurement, moderate motor plus cognitive impairments, and moderate infectious disease, acute episode",0.546965949010242
Epididymo-orchitis,0.128124532799999
"Infertility, primary",0.0075640454
"Infertility, secondary",0.00514515299999999
"Abdominopelvic problem, moderate",0.114339967
"Abdominopelvic problem, severe",0.324246550799999
"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",
"Tuberculosis, not HIV infected",0.3326206579
Spinal cord lesion below neck level (treated),0.296164846699999
"Infectious disease, acute episode, severe",0.1334115188
Ear pain,0.0133199734999999
"Hearing loss, mild",0.0095578866
"Hearing loss, moderate",0.0265751711999999
"Hearing loss, mild, with ringing",0.0214314290999999
"Hearing loss, moderate, with ringing",0.0739630359999999
Vertigo with mild hearing loss,0.121816065461137
Vertigo with moderate hearing loss,0.136839321367873
Vertigo with mild hearing loss and ringing,0.132301573369912
